1,./thumbnail/oJnaSssOplc_maxresdefault.jpg,2020-12-12 17:16:07,【 アモングアス 】#にじさんじAmonGUYs【 Among Us 】,oJnaSssOplc,2020-12-05 14:12:29,Kuzuha Channel,384415,21555,5410,10962,357,96.85,507
2,./thumbnail/gB2E54dzk30_maxresdefault.jpg,2020-12-12 17:57:12,エイプリルフールだけど普通に運動するゲームしよう！【月ノ美兎/にじさんじ】,gB2E54dzk30,2020-04-01 14:21:06,月ノ美兎,710161,5053,1024,21024,140,99.34,1034
3,./thumbnail/5AwDfceo2U0_maxresdefault.jpg,2020-12-12 18:55:54,人の好意は時に人を傷つける【にじさんじ/笹木咲】,5AwDfceo2U0,2020-11-22 14:05:44,笹木咲 / Sasaki Saku,270182,3353,658,8876,296,96.77,599
4,./thumbnail/9ah-EL1LlWo_maxresdefault.jpg,2020-12-12 19:36:11,着替え中に忍び寄る影を察知できないくノ一がいるらしい【NinNinDays/にじさんじ/月ノ美兎】,9ah-EL1LlWo,2020-12-05 16:19:16,月ノ美兎,169863,33572,6467,6405,43,99.33,84
5,./thumbnail/TA6I-9AMm18_maxresdefault.jpg,2020-12-12 22:00:34,【APEX】※ちーくん注意　とつぜんのかなちーくずなんだこれからのいまちひろひとり【にじさんじ/勇気ちひろ】,TA6I-9AMm18,2020-10-22 15:43:53,勇気ちひろ,577928,31926,6751,9572,14243,268,98.15,218
6,./thumbnail/jfXeiIca4i4_maxresdefault.jpg,2020-12-12 22:36:59,APEX  ｜勇気さん？と葛葉とランク～！！【にじさんじ/叶】,jfXeiIca4i4,2020-10-22 12:47:16,Kanae Channel,236477,8885,3872,1681,0,0,0,135
7,./thumbnail/jfXeiIca4i4_maxresdefault.jpg,2020-12-12 22:39:50,APEX  ｜勇気さん？と葛葉とランク～！！【にじさんじ/叶】,jfXeiIca4i4,2020-10-22 12:47:16,Kanae Channel,236480,8885,3872,1681,0,0,0,135
8,./thumbnail/C93eA7M5cSU_maxresdefault.jpg,2020-12-12 22:47:14,【トホホ】反省文を書く配信【にじさんじ】【文野環】,C93eA7M5cSU,2020-11-24 16:36:37,文野環【にじさんじの野良猫】ふみのたまき,126130,11449,2375,2049,5018,90,98.24,226
9,./thumbnail/0KvxwJWQBPU_maxresdefault.jpg,2020-12-12 22:53:43,新衣装お披露目‼皆様、お待たせいたしました【にじさんじ】【文野環】,0KvxwJWQBPU,2020-10-22 12:40:45,文野環【にじさんじの野良猫】ふみのたまき,300673,17341,2941,4905,17986,170,99.06,370
10,./thumbnail/uFKTEB6bfHY_maxresdefault.jpg,2020-12-13 11:14:55,【APEX】今シーズンダイヤになれなかったらアぺ引退残り２日【にじさんじ】,uFKTEB6bfHY,2020-11-02 19:11:33,不破 湊 / Fuwa Minato【にじさんじ】,574113,50149,12028,13490,12189,322,97.43,347
11,./thumbnail/dpEM6MyUjx8_maxresdefault.jpg,2020-12-14 17:32:55,最強のヒットユニットを作ろう！【ホロライブ公式】,dpEM6MyUjx8,2020-12-12 12:18:44,hololive ホロライブ - VTuber Group,345898,13657,1729,2817,21447,95,99.56,171
12,./thumbnail/9lPuJIcGdUM_maxresdefault.jpg,2020-12-22 20:29:27,【初3Dお披露目】世界１可愛くてごめん！W【にじさんじ/#星川サラ3D】,9lPuJIcGdUM,2020-12-19 13:22:18,星川サラ / Sara Hoshikawa,1182118,14164,1469,6187,63944,1623,97.52,1213
13,./thumbnail/i55GH7l4Y0I_maxresdefault.jpg,2020-12-26 01:31:57,【#にじさんじ甲子園】にじさんじ甲子園　決勝【パワプロ2020】,i55GH7l4Y0I,2020-08-16 13:18:31,舞元啓介,1407958,54005,3967,20231,50277,1247,97.58,1511
14,./thumbnail/s6JFLeSju48_maxresdefault.jpg,2020-12-26 02:28:12,【マリオカート8DX】第3回マリオカートにじさんじ杯 予選【#マリカにじさんじ杯】,s6JFLeSju48,2020-12-19 12:08:34,にじさんじ,2136512,56330,9138,14458,38293,513,98.68,453
